label,KCTD4,MET,SCN1B
7Networks_LH_Vis_1,0.7172748515770236,0.9136823834660257,0.5750676005523098
7Networks_LH_Vis_2,0.6991973478343375,0.8113662286287132,0.38355947028048565
7Networks_LH_Vis_3,0.5265984899013256,0.9205108481122051,0.7108136063761318
7Networks_LH_Vis_4,0.48988950943454324,0.8465015242855211,0.712768578921893
7Networks_LH_Vis_5,0.2985422196324147,0.8070471306939104,0.8559845380068669
7Networks_LH_Vis_6,0.286289010228106,0.9162187644482052,0.8836459032153545
7Networks_LH_Vis_7,0.7379678632887536,0.8826270073102702,0.46945534279419054
7Networks_LH_Vis_8,0.2786681692772333,0.9133556064048561,0.8940682438871056
7Networks_LH_Vis_9,0.2197917823438785,0.6809635735428891,0.8603314394306887
7Networks_LH_Vis_10,0.15956385874679432,0.8715518526339099,0.8789541359829863
7Networks_LH_Vis_11,0.20552992132617737,0.9184783796613167,0.941412783818789
7Networks_LH_Vis_12,0.3997858741106078,0.7212691856407993,0.71234871994263
7Networks_LH_Vis_13,0.27194505260483537,0.8084376888504239,0.7510102406995551
7Networks_LH_Vis_14,0.1545877202203692,0.8526180910760598,0.920843754174167
7Networks_LH_Vis_15,0.18858064642389002,0.8717878024426485,0.8849245410359062
7Networks_LH_Vis_16,0.14173476455365827,0.8340124735056954,0.9157105960143036
7Networks_LH_Vis_17,0.3129503792276606,0.8219646215973317,0.7938444775705075
7Networks_LH_Vis_18,0.3821764774846554,0.8937430309716416,0.8178418615017236
7Networks_LH_Vis_19,0.21653296443193004,0.8905408458611017,0.9100525791283117
7Networks_LH_Vis_20,0.21681669021749567,0.8788675882728312,0.8708063314776309
7Networks_LH_Vis_21,0.3544217593390078,0.865379671309134,0.7827653824453085
7Networks_LH_Vis_22,0.26780062402078786,0.8782956510680067,0.8696946736108835
7Networks_LH_Vis_23,0.3296936679880783,0.8491916358527247,0.8259399510198208
7Networks_LH_Vis_24,0.42920366785482333,0.884683968403386,0.8674429514222248
7Networks_LH_SomMot_1,0.4911640560997175,0.716572617986014,0.6791215802379664
7Networks_LH_SomMot_2,0.4270957619353666,0.7857464308365026,0.7605639108307681
7Networks_LH_SomMot_3,0.5653593026186103,0.6471861757157018,0.534478065842604
7Networks_LH_SomMot_4,0.3740111966233858,0.5386056607019,0.5610602755522833
7Networks_LH_SomMot_5,0.413274993371752,0.7501368372603154,0.8416778529447595
7Networks_LH_SomMot_6,0.4603720565640346,0.7956809106569127,0.7257669495829411
7Networks_LH_SomMot_7,NaN,NaN,NaN
7Networks_LH_SomMot_8,0.3533511594227801,0.6144127919858638,0.7520709183522041
7Networks_LH_SomMot_9,0.26171536041084104,0.7837989266091612,0.8617553699041273
7Networks_LH_SomMot_10,0.28800673151902334,0.5591151646331616,0.7913090512821794
7Networks_LH_SomMot_11,0.49530807353192974,0.7876017153596745,0.6627240720412673
7Networks_LH_SomMot_12,0.29487497806993124,0.3486331713980976,0.7513200381058106
7Networks_LH_SomMot_13,NaN,NaN,NaN
7Networks_LH_SomMot_14,0.39766277899825536,0.3460336593362528,0.6029321813360067
7Networks_LH_SomMot_15,0.20249195724986402,0.4152579679629818,0.8283439593457279
7Networks_LH_SomMot_16,0.2805490214563092,0.7809638930010342,0.8163554340217971
7Networks_LH_SomMot_17,0.18406117698235627,0.6647642644103864,0.8907539541900634
7Networks_LH_SomMot_18,0.351321397081001,0.3177454684925172,0.6409077132563143
7Networks_LH_SomMot_19,0.20166852427222204,0.38672287759969015,0.8465230162475746
7Networks_LH_SomMot_20,0.278890107605251,0.2842051027133389,0.7076713509845874
7Networks_LH_SomMot_21,0.2880524226291708,0.7654808489688696,0.7951459886993567
7Networks_LH_SomMot_22,0.20240449021090665,0.6087241469378485,0.8919932029267489
7Networks_LH_SomMot_23,0.23311839826975939,0.7939194376627158,0.8431924859536504
7Networks_LH_SomMot_24,0.2892313638263987,0.26257836599993106,0.7748366116130097
7Networks_LH_SomMot_25,0.188578202110117,0.6388676075054764,0.7880358226298125
7Networks_LH_SomMot_26,0.22362792244390586,0.3756923903078319,0.8127575240239636
7Networks_LH_SomMot_27,0.34155489646640813,0.7378035255924589,0.6806375012172392
7Networks_LH_SomMot_28,0.16126035588952783,0.5639327675210045,0.8824922952315496
7Networks_LH_SomMot_29,0.13515380485074946,0.3125555757098987,0.8932448277922568
7Networks_LH_DorsAttn_Post_1,0.651395006950772,0.8850393736163044,0.6020385436809064
7Networks_LH_DorsAttn_Post_2,0.48965164319130416,0.8738399435067535,0.7242880582853864
7Networks_LH_DorsAttn_Post_3,0.5603149827530773,0.8515875837889755,0.6256835485170815
7Networks_LH_DorsAttn_Post_4,0.4181666727261035,0.8521614000939108,0.7405504574534254
