label,ANK1,ARHGAP25,ASB13,ASGR2,ATRNL1,BAIAP2L2,C2CD4C,CABP1,CADPS2,CAMK2G,CBLN2,CHGA,COCH,COL5A2,COX7A1,CTNNAL1,DCLK1,DIRAS1,DMKN,DNAJC5G,DPYSL3,ECM1,EFNA5,EIF4E1B,EIF5A2,EPN3,ESRRG,FAM162B,FAM217B,FBLN7,FBXO33,FGF9,FMN1,FREM3,GLCCI1,GNB4,GRIN2A,HAPLN4,HCN1,HR,HS3ST1,HSPB3,HTR1F,IDS,IGFBP2,KCNA2,KCNA5,KCNAB3,KCNC1,KCNC3,KCNG1,KCNS1,KCNS2,KCTD4,LAG3,LINC01296,LINC02217,LRRC36,LY6D,LYPD8,LYSMD4,MADCAM1,MAST4,MET,MIR124-2HG,MIR600HG,MYBPHL,NEFH,NFIC,NIPAL2,NKAIN4,NR3C1,NT5M,NUPR1,P2RX6,PELI3,PKIA,PLXDC1,PNMT,POU6F1,POU6F2,PPEF1,PRRX1,PVALB,RAB37,RGS6,ROBO1,RORB,RTKN2,SCARA5,SCN1A,SCN1B,SCN9A,SCRT1,SEMA7A,SHD,SLC16A7,SLC24A2,SLC25A12,SOHLH1,SORL1,SPTSSB,STAC2,STARD5,STAU2,STX19,SV2C,SYT2,TDRD1,TESPA1,TEX29,TMTC1,TNNT2,TPTE2P6,TSHZ3,TUNAR,VAT1L,WDR66,ZBTB16,ZNF365,ZYX
L_medialorbitofrontal,0.329275484661979,0.6144617459223475,0.40460118661814937,0.6315575288333036,0.6975888475642382,0.8380000219003227,0.8584260642628897,0.6160592859938465,0.5842719642908393,0.5843872810465266,0.813977369041558,0.5543148569308618,0.31152629097533974,0.5995706275655801,0.6947329352023253,0.6543974834608776,0.4534835377572528,0.6780864802949186,0.4906856347692026,0.4806469597548281,0.5699664696357885,0.4430934585428858,0.6175195091155774,0.4215575016811918,0.35614074202015145,0.32281555053605526,0.3253276837615324,0.7953289166502865,0.7213558035544861,0.6396820352063652,0.5476018437716047,0.3369471478921693,0.6632272249450476,0.7359411590997076,0.6464283145383587,0.6478932763977976,0.7714473471614082,0.5790438390087592,0.7127340914053862,0.7680428921944071,0.44374053845171635,0.8836483395190178,0.7754747749800568,0.5273415021198957,0.7158345083033948,0.4998078026447209,0.4195347393867238,0.4496517663808348,0.45043015940919895,0.3924694292803867,0.5840144457429943,0.8038310470446522,0.7465363191354251,0.5591135855611281,0.40354782560957614,0.44949451751747915,0.8977604375544588,0.24444782910281537,0.7346542744861738,0.8289275440466609,0.5317443429010121,0.539107620784508,0.6145607832239369,0.7425430514866358,0.6410251253228738,0.5996768159585121,0.6395900341794221,0.2724407827692591,0.6394008614924802,0.6165144469032304,0.5666863599862174,0.7818162813691129,0.5447420172300581,0.4293721064000467,0.47458365990403906,0.5037690157881423,0.44887229804507855,0.524221263698282,0.47503821627285486,0.69734254530949,0.6315660780633665,0.7258035457865917,0.6149688157760558,0.5690376234361293,0.42097668419455947,0.5484703892206255,0.4812336549707047,0.7376612338459131,0.5768346850823464,0.6170683365706467,0.376993652236369,0.48058247925381103,0.35569260873843855,0.3496376976372929,0.5869904404815555,0.5169729071380089,0.5016566345349883,0.6531861187487387,0.2738459338493785,0.8791169107285879,0.6305609227046166,0.44480664513619295,0.6283559685060718,0.5233888027549458,0.5393091677346065,0.7134592149902608,0.21079114062193605,0.15852953636515926,0.5724330612666134,0.7708018574502249,0.7475175125004239,0.3312593678151536,0.6684908223012338,0.5160393082723658,0.8425061982093722,0.3963561309564767,0.3851497849656023,0.5183315050785686,0.8658514202054641,0.7725328826033097,0.5825153850946054
L_middletemporal,0.43596782396997996,0.6492550332844266,0.5258263663830344,0.5751725606057189,0.7985794502706468,0.7994481584441712,0.8443776297986011,0.7050530401666172,0.6275070390190188,0.6420355888358767,0.6666294795468392,0.6470068705728166,0.4763698441421627,0.6471043720365732,0.8207710886708938,0.7606547818247004,0.576082905301264,0.5872495770518887,0.5261293440069149,0.6109299786352612,0.5364487454291959,0.5740333075787113,0.6226529442323546,0.6727776763954617,0.36421602857420504,0.37200506418902385,0.3861970548495904,0.7557455568615893,0.7439433743453184,0.5967955335472126,0.5847848322394379,0.4830873382694656,0.6828831963435312,0.680559753686329,0.6534695045628055,0.6030910812443331,0.7598694106759388,0.4894082895611547,0.6806428539590926,0.5511021163489288,0.5372448512119057,0.8294252795300268,0.7025605879153533,0.6387853971834306,0.5838406070566912,0.6208263173116269,0.3785361296031078,0.5190705391609564,0.5240898269590906,0.4960103176769341,0.6876305970814468,0.8166689423715835,0.7799228906658605,0.6922825328727086,0.39475502970585336,0.6997894528903549,0.836560072591626,0.4065552603563205,0.7004424879801129,0.7727978845021782,0.58898998951904,0.4873547167916807,0.5934919188968567,0.8637498054001244,0.7420503339646832,0.6352529431062129,0.6604895709307597,0.4110904064294159,0.5241575007203454,0.7458891578513597,0.44084593229954305,0.6079486022524806,0.5441879020582684,0.4294791445556951,0.36291242687962794,0.5928266538024567,0.649396383259443,0.5835732279108207,0.6173821145481172,0.6275699724526166,0.5997666686606739,0.6738423198407509,0.19792150182218401,0.5628339826833342,0.41442580260939166,0.5939845200088496,0.4413225653502371,0.7974535000892189,0.5992539447364451,0.6117819785434188,0.45969575780647337,0.5225972559286179,0.4249073770024099,0.479441595361288,0.5143202185142915,0.5600577654665789,0.5563442060723175,0.5669779209010107,0.6098749285209197,0.8078392551866801,0.6506895132037056,0.45390042610480874,0.590543131923996,0.5021946842227546,0.6116565125242793,0.6193341610633415,0.30271175432116043,0.23313977576224712,0.550878636381957,0.8130577876674793,0.7876397270628271,0.47192255071437383,0.5799140694825026,0.5472906509122116,0.7735238881440507,0.33534784994950867,0.444470691504699,0.5104401512340574,0.7549970822706139,0.7502262822693173,0.6154459762130915
L_parahippocampal,0.4347689693807932,0.5160095519857949,0.5208789484186461,0.45000983047287163,0.7789359453394941,0.7337887816479173,0.813561242467414,0.6667199820092856,0.6274564854646864,0.626972855408675,0.6104686380447633,0.6224665005237638,0.5229385802498925,0.5882903197868162,0.8065967056096586,0.7272149811806646,0.5718767598487092,0.5262369761223139,0.45905215618643097,0.5980842718347635,0.5529513098391937,0.5733723193271941,0.5696081967005332,0.6208634782135111,0.341625583909639,0.3680261885211514,0.3698432539121021,0.759828117410462,0.7219299447743154,0.5692988213900596,0.5266026833841356,0.5022655990354089,0.6326972866373608,0.5829616696542556,0.6531334099595469,0.5515571552321977,0.7325013438397695,0.4291106708634269,0.6466108354757301,0.48781534066563886,0.5530597511758023,0.823002726828142,0.6856947850872809,0.6159110869222962,0.5661903531010656,0.5616457171886212,0.29391358029415116,0.499596030569329,0.5095873719855928,0.4911042664002144,0.6809878488590645,0.7917127128162275,0.7522134785078514,0.7110333783357977,0.3948298006984845,0.5611873366798297,0.8225794268098752,0.3777441109011482,0.634457872385583,0.7499193850379803,0.5844797250715933,0.4720751014176965,0.538766371571599,0.8830007206408069,0.7284491133757903,0.576734316699557,0.6416345770975876,0.3834711758201443,0.48464400535399355,0.7286586767367728,0.44245116305672777,0.5578287257559225,0.5398221187956328,0.4496351071382821,0.3454345225261563,0.5482069527639858,0.6484766716439551,0.5007076411833298,0.6181097203299027,0.5786773193000421,0.5780967491584009,0.6610631378418774,0.20861438817716052,0.5038489380136258,0.37186181970221427,0.6113590315688934,0.43816639205559343,0.7868388332756927,0.5286220562167481,0.5900196414923398,0.44891086120282764,0.49036181082949665,0.4791062653826648,0.4520594613672054,0.5185055614060142,0.49181523244501263,0.5333999492735334,0.48764596108913477,0.5758998314673129,0.7673176254822591,0.5775015639827957,0.40428505453111363,0.5393289023501747,0.46134407154500034,0.5672127528665515,0.48501825629777245,0.30845308350429523,0.26291911029187337,0.4040113528846058,0.7953645039728948,0.7275821141827982,0.4662095770038049,0.4933739444810672,0.465380022161064,0.7508779810231033,0.3059645725215211,0.4209704745651543,0.5195264373659388,0.7309276915873616,0.7111521314297492,0.5815056740030491
L_paracentral,0.6695456839658714,0.785251426533755,0.6918278438929893,0.7808483625519892,0.8307680499857488,0.8265416473578481,0.6015194076516105,0.8174012742307636,0.686854757955811,0.8002019549080582,0.7932305553587091,0.788137900635517,0.3260084131192173,0.7200728294736063,0.8533839693237187,0.6894486916692147,0.7710252954734912,0.7192475156130379,0.4718949766160845,0.5479190951021121,0.3564924483028396,0.7503264829129767,0.779028881751976,0.783247976895562,0.6319102349673241,0.7066341402875546,0.6768311441398205,0.671303280603288,0.7725364895387007,0.6627126276307728,0.781376355720154,0.6985497811215241,0.7677986502511298,0.5754686122586107,0.7198965432421621,0.6099508381553084,0.8079420229847666,0.7825289121100466,0.8219635835756463,0.7384718980624987,0.6110837613066867,0.880998417123921,0.7504519462152196,0.7180929530620287,0.8006774318279635,0.7946574177870981,0.31761334017766846,0.7020538102193882,0.7609965146293866,0.7120522529027133,0.45201682017800743,0.9301153362848744,0.7778597071280157,0.2787341629377447,0.635277214673352,0.7619576537210017,0.8365169272000473,0.29105810891591705,0.6630587013933614,0.6937253846720557,0.6235838143744542,0.6881510458492005,0.7120075197032967,0.41218562549016063,0.6877664635397404,0.7855900271518079,0.6323055663844738,0.7798939391960525,0.7390531298351238,0.7713744093789825,0.29330185157408906,0.7522937118694616,0.6980753253060022,0.30902859518703285,0.7054276147594822,0.7549173346578533,0.38929626171003245,0.7454525731701732,0.22911958505096078,0.6958686570198588,0.6885386153402311,0.6715659980411802,0.43905139607904237,0.7911581320885267,0.7271888888730552,0.6183396407012571,0.3660075048246258,0.7168394012885408,0.6319499808698144,0.38963320549184743,0.7087783371312436,0.7789063149873207,0.22949847586678987,0.7499354077605993,0.7534490714144971,0.6746964219933438,0.6484338297228599,0.7441445767968768,0.7557491363508461,0.8945915878193427,0.7928430479159735,0.5966101392296644,0.8438040991129593,0.6345404687318367,0.763104035129022,0.5957592538667584,0.5863590110688137,0.6371347990153734,0.36274885326407796,0.889580934145472,0.837317359126852,0.543620319269632,0.6900229169898403,0.762977794470725,0.5455986405782346,0.448810692479409,0.5662997385612718,0.4047080160104568,0.7857473326857622,0.8104198092194359,0.7598199583386626
L_parsopercularis,0.5478369115662854,0.6993420124431623,0.6535374157093535,0.7520745751336793,0.8369810016504483,0.8811803446702582,0.813872673540515,0.7310527280478172,0.6792344017607524,0.7391185596495237,0.842927181150119,0.7880878311684549,0.3886769229442993,0.6843232041385777,0.7936876839073589,0.7259361232030428,0.6719501196009029,0.6879405925729186,0.580810231239338,0.5591401185733079,0.47664100314120583,0.5893344437973265,0.7962413588341346,0.7257977226709987,0.5582791854623791,0.530830474877982,0.5084301110510977,0.7949390043900483,0.81261155151964,0.6719536088796837,0.7285244474094307,0.6238107042070208,0.8048120400623328,0.6875148643911365,0.7358530723128075,0.6999255930022423,0.8406320286079866,0.7148554842055406,0.8158183798088857,0.6748092574386981,0.615978608213583,0.8727199955837666,0.7444119370472038,0.6987800530577646,0.8466984142194551,0.7286136116893229,0.5593833517121239,0.6143084747346186,0.5860208971939853,0.5571612722513267,0.5856065679906316,0.8785326289603373,0.8063738653047849,0.42513691951171473,0.5095553958538624,0.47897737620946507,0.8630410997045398,0.39951756362281055,0.7906057643996501,0.7854013644405123,0.6377086339711201,0.6106883253337642,0.742101887468371,0.6741410542630026,0.7297230639003582,0.7315877610928713,0.590878907972491,0.6355323973217099,0.5735583289416064,0.74999086769122,0.3140791023028587,0.7708895522799782,0.6053238754924614,0.2927877567628033,0.514786527475574,0.6828948338226121,0.5744853580324012,0.6796357581296419,0.4612357553768738,0.705778577544519,0.7575842603585103,0.7681638289600441,0.5453984589987608,0.7266119109021104,0.5887522320815276,0.6239176171633843,0.41336792412994905,0.7853249015443141,0.7024018877880973,0.6716218928552308,0.6010278218782111,0.6517387778673366,0.3218617945245316,0.6112803317679504,0.5928880750711002,0.6162753631769701,0.6251296695671331,0.7165791783476592,0.7145238684176766,0.8846370263671733,0.7623379736281776,0.608949027053231,0.6900340366640095,0.65478578594799,0.7709825476074393,0.697522186280584,0.2997156784527539,0.35590707643986397,0.6066564460187825,0.8922500982892378,0.870717548975947,0.42270751900004466,0.7257289642723107,0.6581380462252153,0.788568258046272,0.5032145736791461,0.4815883987026021,0.5051139362250759,0.7868700129858959,0.8394859879511672,0.6876623403683935
L_parsorbitalis,0.4729215274686484,0.6917547211519945,0.4997526769146737,0.6869888307083508,0.7783693515166673,0.8602676015783924,0.8752296634463277,0.6944723983286684,0.6056247620247025,0.6019306098356035,0.8127547701871679,0.7260787099649565,0.44449570639557834,0.6823479798720671,0.6961256866338514,0.727650834623374,0.5887274799676057,0.5921640535539363,0.47916978563122276,0.5722535155724008,0.5432038515835802,0.5247016314317908,0.6771342233692593,0.6407260289233634,0.41701449998845636,0.3671704044151139,0.38244917955290075,0.8224725553144641,0.7561517987723771,0.6296928816630724,0.6334067525082306,0.5350051439584852,0.7346163792953839,0.7539661984889702,0.6632094950640163,0.6880973600082553,0.7632762362863376,0.5696249180102381,0.7295185017941003,0.5804127314891735,0.5376480543836052,0.884752943596828,0.6979929941226205,0.592901849535907,0.7587898263611946,0.6097692484267013,0.5132823422079226,0.5364959990486805,0.4946035409949061,0.49468052777039895,0.7166168241619705,0.8271853141078727,0.7576739206878594,0.5256383673540318,0.4154353437552272,0.46846310963969096,0.8653574306048121,0.4624626553228839,0.7137966752307837,0.7812865119824024,0.6079235561183454,0.5353875965802226,0.6414382455159773,0.7037738053712933,0.7313168345487914,0.6125595474579877,0.5645145834357225,0.4116997301264906,0.4764223249754839,0.703963616932605,0.42609524881087174,0.6711219353078345,0.5521879998550974,0.39593558914976223,0.4897113709739374,0.5954640912356375,0.6317945720621958,0.5526211502284845,0.61670541792272,0.6134984020349424,0.6895197071794237,0.7642150745396705,0.5996348573250799,0.5830902376666438,0.46056938771872985,0.600527240494109,0.49107459761233807,0.7619804202981024,0.6246581259566765,0.7484463271653281,0.46783670801884253,0.4622309534884917,0.417002647487086,0.4748185084154149,0.46872992682320697,0.47707310179599166,0.5668979979046033,0.5528256243220577,0.5779003342921458,0.8213770692318523,0.682855064486071,0.5047159529567006,0.5993175232380498,0.5037918998287942,0.5935783696745378,0.6177746796276044,0.23922332637737795,0.22759698118635438,0.4427500680356093,0.8558098777696449,0.81109175301532,0.4106192606562878,0.688871530826047,0.4984322258287621,0.7792664934996599,0.5008024034758303,0.4813966507897596,0.5832475248347255,0.7683356816463802,0.7559843155790649,0.6155571309196667
L_parstriangularis,0.3818685401855088,0.7107313911859006,0.3943306307552592,0.6712308355896397,0.7182237931646699,0.829724169936877,0.9228988398389869,0.6600392812390101,0.536384811178008,0.6003101533713066,0.7882900628588984,0.6431947421418543,0.4888311092415683,0.6365715309934484,0.6250053661266023,0.69736126121542,0.5525147153443438,0.5330296377768828,0.4378794648071302,0.5339963507379163,0.6379556842364112,0.5025487531667602,0.6538907512415114,0.5771095294797878,0.3459990457693358,0.2867659593125201,0.3279035301580567,0.8019400471965695,0.7166933675742323,0.599548716927948,0.5865312215907976,0.4682542317733001,0.6985654474286663,0.7911095612170524,0.6248466554784261,0.7289238982311996,0.720377788047451,0.45602997064160894,0.6575122821614174,0.5048843631361208,0.4539212917716422,0.888121856187898,0.6612847576789035,0.5814595424802749,0.6702106414919419,0.5261788492786484,0.526516597076251,0.47354931892139507,0.42000884139999717,0.3949641199272311,0.780078703916541,0.7750060175895229,0.7166734816757812,0.5935942327632241,0.32682943170738765,0.4410762091512937,0.8968997602119239,0.5136464236454414,0.6274075147245909,0.80803788929349,0.5800828349005613,0.5151561907959156,0.6205984258882334,0.6678581861902341,0.7142207255818409,0.5946633358244869,0.5411053998456171,0.27247338769977025,0.42922298815732635,0.6718634474114403,0.54884673164735,0.5875649635200162,0.5009439814158202,0.43177597057017053,0.42470228052752496,0.4950714934019447,0.7109347310848125,0.537007136136667,0.7174116261442683,0.6049118458723611,0.6105852615532025,0.8075653255488295,0.6385332715691642,0.45262372375917664,0.35682484004063914,0.5489239597943903,0.48849284689125966,0.7346101018302408,0.49503640112829544,0.8251078686461958,0.3487637519542346,0.35082458780931564,0.5096225980929837,0.3983873279487045,0.3733813083536101,0.3784975342681561,0.47469234430848856,0.4534971698577188,0.5576291821429825,0.8032367691820771,0.5636369401067227,0.40106968244425883,0.5174760215133392,0.43627543376929806,0.5731526962513293,0.5722575884039515,0.1876300523717365,0.154891161981255,0.35743761135625096,0.8087911863199176,0.7700808292831097,0.41926193275882495,0.6512906531383709,0.4648840537135212,0.7980106879358848,0.507464432625726,0.5275854103223662,0.6429483691467172,0.7550256266032377,0.701576870830877,0.5707868548439441
L_pericalcarine,0.7960273879849478,0.5574487068263531,0.7861391773560561,0.5694871960023761,0.8986374448046502,0.6591280614247017,0.42701837705240236,0.8994552554533364,0.7749710224046487,0.7563757316666267,0.6456578391840376,0.8948961864442744,0.27875300398305436,0.5174937106181149,0.902887223304394,0.8680286557786551,0.8066801865507683,0.727592269685769,0.8123004050932359,0.7624954925611762,0.2376900589228779,0.7994443860965473,0.8241144756558638,0.8163220520565865,0.7231078467957796,0.5984459394012254,0.7871964440570859,0.8571103577251651,0.8651767344565311,0.8864550905078147,0.8176076876053081,0.7961244459291391,0.8657344180990637,0.30471135479613437,0.8675538392386625,0.35527924065570876,0.8771572220978899,0.7905395552830733,0.884510848714893,0.8810455438892553,0.815263795460088,0.754368023323165,0.8416755636421397,0.8435985038341963,0.8568128609324389,0.8024628126678253,0.2631720407930831,0.8035268316692042,0.7969693710106136,0.7978659241968392,0.41989961252456814,0.9293088112208973,0.8568275727823522,0.2539045911750652,0.8662355388426614,0.5391617412479669,0.7669630129831818,0.16549484995403993,0.8030184892716005,0.5143848620253715,0.8029942143596838,0.7501684401434551,0.814847342333428,0.8724574635187451,0.8581610669145907,0.8305389651985119,0.7441924548601863,0.6734834614479582,0.7598169353642655,0.8807621455646703,0.12259484050906844,0.8420717094920364,0.8555216078037037,0.20027688073245753,0.738302822843789,0.8128737974350159,0.22692470518601016,0.8461051094559462,0.24340142220241467,0.8422366088997323,0.8058286210863188,0.47147225167452156,0.3526594363649657,0.816933839712373,0.7210775330401651,0.7606213850036401,0.23706396228790863,0.9168881013132868,0.8300999275150353,0.3582733223992049,0.8218758306839847,0.8707959764624406,0.14219330869111366,0.8540730077674583,0.8343231826037786,0.8016839407842156,0.774005256208735,0.7851396724630094,0.8276434242826148,0.9214426526893374,0.7884667298327822,0.7889075741489644,0.8785082670785901,0.8274744406561334,0.8110058736384332,0.6806749222096418,0.5524291016661564,0.6339494551937157,0.8146578323537207,0.8680497117173817,0.788657792836387,0.23885909188385349,0.5830424344755826,0.8079126596485943,0.8397259256757034,0.17522860237043303,0.23409199994018734,0.24641160793561231,0.9072426111481886,0.8262753690406562,0.8590738377683041
