label,ANK1,ANKRD6,ATP2B4,BAIAP3,C2CD4C,CBLN2,COL5A2,CPLX1,DMKN,ESRRG,FREM3,GLCCI1,IDS,KCNAB3,KCNC1,KCNG1,KCNS1,KCTD4,LAG3,LINC01296,MET,PKIA,PLXDC1,PNMT,PPEF1,PRRX1,RTP1,SCARA5,SCN1B,SCRT1,SEMA7A,STAC2,SV2C,TUNAR
7Networks_LH_Vis_1,0.42112731858086244,0.7342092059528245,0.6830543876510929,0.5933213080138169,0.6793683163255647,0.3767932389762621,0.5012837922830234,0.37817140417639794,0.3910164582987789,0.38851634043756694,0.3801100402406827,0.45830828655514083,0.519620458428465,0.4591780574156077,0.4137468339015207,0.7081927095213428,0.5319115398303712,0.6755038812905001,0.3281628769620323,0.45958624591555025,0.7607262183648028,0.67163300341147,0.38702313141909866,0.5423705457480491,0.6176639556999365,0.2662943880951767,0.37416780108347636,0.5157634138752302,0.4131544509137221,0.3723066274780189,0.46046291516201915,0.415186676883581,0.22785175988319803,0.47928351570913974
7Networks_LH_Vis_2,0.8056506504507567,0.3190204955344469,0.3286391934633838,0.23695397650935476,0.4013081978936932,0.5257034144611129,0.5420999258544157,0.7393551291220567,0.8076077129778501,0.7571066317798001,0.289529154029554,0.8276845835718787,0.8201015977722322,0.7941798273914854,0.7859853419365199,0.3915741634501269,0.8796750676389223,0.3302758874389632,0.8459275314132864,0.4353595808226357,0.8907717931010879,0.17959997428857202,0.8152117202178084,0.2615332653776712,0.33796472945688405,0.22169011100957695,0.23050635204791586,0.34796595461136715,0.8466727330810402,0.8062772114592892,0.8312841163704172,0.8020608055232742,0.5762176570715825,0.15014104813109697
7Networks_LH_Vis_3,0.7595378821005853,0.44529579408427633,0.3766077273182818,0.26132161066115467,0.44732454491828255,0.4184174992264746,0.43701726413151887,0.6625171938246066,0.7472991445496447,0.7391721537693466,0.2492161045652924,0.8160974602355832,0.8323809037438507,0.7945438040902985,0.7494928658012255,0.4687925517373411,0.7903888220276633,0.3358974694376291,0.7368500160456696,0.41130425349941335,0.7861716985257358,0.3152519170524617,0.7399573642363393,0.2936935793887458,0.38165549056668885,0.32893485611819806,0.26973190166193795,0.3217762381670311,0.7829625233642336,0.7340565947096166,0.7601661176086351,0.7314211778053646,0.4729495684941128,0.22199728988979558
7Networks_LH_Vis_4,0.83798335910043,0.26625921251152074,0.22892399202538866,0.18470804364044224,0.27860066491665375,0.4835475382172209,0.45845564015359147,0.7866738208203431,0.8456433458063379,0.8659673194777978,0.19604578402651443,0.8661649883759122,0.8411639685548125,0.8657258745051724,0.8025334640888598,0.36239286364782464,0.915227773112498,0.23596002068332195,0.8849849525459683,0.3703786658997138,0.8880655670260952,0.1567047588831137,0.8969216968833538,0.22170118054132634,0.3108370809545291,0.20549913713226853,0.18225870096632718,0.2815094135100976,0.89072749550651,0.8436566179508466,0.8883045910123103,0.8717231630024749,0.5945465869239157,0.16339503312363657
7Networks_LH_Vis_5,0.8961510206637346,0.16208513886795184,0.13423327610711114,0.1618406296200373,0.17161618569683368,0.4433998989982991,0.3029372986795029,0.7970330480048248,0.8941855074269389,0.9092238851798531,0.13584714856891886,0.8920595271808878,0.8593225271145096,0.9257884317592125,0.8190083014714018,0.31566265406564475,0.9070240618329265,0.15887545277294535,0.9544451207262276,0.3117415167430087,0.862586869911895,0.06384251656826101,0.8851519213903615,0.19003981019426905,0.22646056809568416,0.28661359912900075,0.15971475850358638,0.22995806683892778,0.9230927359287205,0.8921491646433163,0.9208123153768435,0.8963829147138155,0.585525131458982,0.14835467070395525
7Networks_LH_Vis_6,0.7693274497331294,0.3112256111636948,0.28078145885822775,0.24444659749919104,0.3533381596509979,0.4935440632612315,0.31248812666234077,0.7381105396146443,0.812688700354618,0.8177289389647386,0.21700500461173758,0.7839872421791738,0.7830951709102787,0.8166836633582547,0.7052866230044043,0.3908657215040599,0.8285382722771847,0.2768779366274979,0.8072809604580947,0.3459619606144037,0.7753177925191136,0.21678154290895568,0.7294563154696672,0.28059476578771686,0.358256020816999,0.4745586234774262,0.2606237029744995,0.2885607065409288,0.7970812129005037,0.7433830285954888,0.801158788952411,0.8284447114883342,0.48267355835567205,0.2742225222687757
7Networks_LH_Vis_7,0.7020967080499901,0.4630380886214677,0.4825530399572702,0.45413370744892695,0.614257206265587,0.6215481932150767,0.6618740263881276,0.6871315755550894,0.7083750245841302,0.6589567002074839,0.49434844425402114,0.7279167890464308,0.7623119222539567,0.6969424518574764,0.6988815238166778,0.4602985051503205,0.881987359866879,0.4016805953998781,0.6612988073033942,0.6951450386606429,0.8681643632680021,0.39514137291553036,0.7475713460850617,0.4020224510660726,0.5631229360771597,0.2052464131683156,0.42980732776964065,0.46789979113507224,0.7377660936122606,0.6802469049239911,0.6805829259005819,0.76857931982306,0.5780454141891483,0.25205942955250366
7Networks_LH_Vis_8,0.7772167980751488,0.32383964922873726,0.38057722846034825,0.33829943491544534,0.5004004094938662,0.6013654112800899,0.6201270761013269,0.7499770514374621,0.7794946476537093,0.732486484958479,0.37279902125809783,0.7607173598311738,0.8126245015674979,0.7657978979817008,0.7772388450723029,0.3951546012273842,0.8975025509578357,0.33902636110315293,0.7890365929212833,0.6362160984654512,0.8901349124862303,0.29861044121070757,0.8250524204071091,0.3137199178545194,0.4625834270886389,0.19559697819640723,0.281586931013223,0.3640060434347032,0.8350381474259544,0.7747949678382166,0.7727788644972639,0.8333683419303084,0.6330702469451289,0.1905971604202477
7Networks_LH_Vis_9,0.8528477244299074,0.22339392513153813,0.22478362025298393,0.1984085632469624,0.3437811264340013,0.5244105366834225,0.5002032695189471,0.791362913655532,0.8365157356701646,0.8141258159666908,0.2658156857608172,0.8590148888246261,0.8407827889611214,0.838227909341278,0.8092935314794136,0.3587950704586058,0.9252058981721971,0.2347574625368999,0.861982247098111,0.506778557718956,0.8719445266221705,0.16029829485693203,0.8518696236497765,0.2532590030391419,0.35043998826603145,0.35668251271696744,0.2592445589064723,0.29085824475481076,0.8660068618636839,0.8481055854393644,0.8658562153885018,0.8937948971715874,0.6698984618321181,0.16812967373449875
7Networks_LH_SomMot_1,0.6245327192940371,0.5189373355999265,0.5663733247152064,0.5164699450618658,0.6871206295133452,0.5951996149769542,0.5996354864474912,0.5325857476790121,0.5831679605889402,0.6056042909716538,0.47993279999132826,0.7248894846145761,0.6805146716979608,0.6159580748696759,0.6499697083102097,0.4530284545755978,0.8334106405748855,0.48320236082067264,0.6463606938488212,0.4411992612561126,0.7530562792548698,0.42995930381583514,0.6199946021760584,0.5041380694196628,0.5240912959097793,0.2512238283072629,0.5702103656892361,0.4916788963942899,0.6866208712765802,0.5873774073080764,0.6570840954358506,0.7177134206498889,0.45638208899190896,0.24849233661155998
7Networks_LH_SomMot_2,0.578556621833471,0.4945533376468421,0.5240552364278273,0.4603632639837376,0.5963460218133593,0.5808463959869131,0.516031046783385,0.5236937989541762,0.5497375756762891,0.5831643837267638,0.31521316873018884,0.701316361157858,0.6118593585645508,0.5785381986638876,0.5766676505985581,0.4173536248447465,0.7290780662964478,0.44047581228532745,0.5909935356040971,0.35283885759526096,0.6622108268948916,0.43387348758282257,0.5584290079949031,0.4660273908413654,0.5087643476540181,0.20540639081478554,0.4769704937860177,0.4259418183387845,0.567974508893455,0.5275157366783906,0.5990227989733139,0.7440564983489063,0.45905345311233087,0.36163941768684466
7Networks_LH_SomMot_3,0.6218279174519016,0.5659472516179931,0.5909689477140948,0.5360927789010964,0.6735676349753588,0.6880825553592959,0.6557105479050723,0.5911467331646323,0.5384331643051875,0.630569805323141,0.6209143134854576,0.6716037699820315,0.6463775230174486,0.6314036783045158,0.6639925444805199,0.5223507287695641,0.8820980481843824,0.37849190724672427,0.6126650357627316,0.5875715117426755,0.5907139102488997,0.4872396142767846,0.6621560066471882,0.46712870573417503,0.6491820130503255,0.3759070850822202,0.6717279750648507,0.5183757130458074,0.6816881669798033,0.6449105232916876,0.6453454691134555,0.7428817106604565,0.5396809612909487,0.4166422730084738
