label,MET,SCN1B
7Networks_LH_Vis_1,0.9095090012650037,0.6010390542593002
7Networks_LH_Vis_2,0.8674359864102095,0.35710888319119016
7Networks_LH_Vis_3,0.9218980776801522,0.7016405746018024
7Networks_LH_Vis_4,0.8510368113058767,0.7265878610894149
7Networks_LH_Vis_5,0.8579069282467248,0.7853703829460243
7Networks_LH_Vis_6,0.9185522688050033,0.9071984778290645
7Networks_LH_Vis_7,0.6485047076039914,0.4874914047739118
7Networks_LH_Vis_8,0.8809915960884913,0.7316601217101211
7Networks_LH_Vis_9,0.915996476029758,0.8749502710305229
7Networks_LH_Vis_10,0.6651029959817166,0.8497889546524254
7Networks_LH_Vis_11,0.8753149932251681,0.9045578300621132
7Networks_LH_Vis_12,0.9155174561680404,0.9396239812485698
7Networks_LH_Vis_13,0.6265269364150844,0.611807525895341
7Networks_LH_Vis_14,0.9148179308027773,0.9049990510979136
7Networks_LH_Vis_15,0.8506472557929299,0.9253476102242224
7Networks_LH_Vis_16,0.7647823503182084,0.8093017548821889
7Networks_LH_Vis_17,0.8246084335729771,0.7228458002629434
7Networks_LH_Vis_18,0.8605504848642564,0.9214544911448164
7Networks_LH_Vis_19,0.8667183718782903,0.8621786392245367
7Networks_LH_Vis_20,0.40773212595490405,0.3341543449176042
7Networks_LH_Vis_21,0.8402596889375656,0.918529033958167
7Networks_LH_Vis_22,0.8180934642330483,0.7914173542131104
7Networks_LH_Vis_23,0.89257882606562,0.8164646455128002
7Networks_LH_Vis_24,0.8905408458611017,0.9100525791283117
7Networks_LH_Vis_25,0.8740560741334151,0.8650318812955661
7Networks_LH_Vis_26,0.8661206368977348,0.7866403561008348
7Networks_LH_Vis_27,0.8858978087811196,0.8449762620428782
7Networks_LH_Vis_28,0.9075452368216169,0.8540742343031327
7Networks_LH_Vis_29,0.8509090145599956,0.8208384472510276
7Networks_LH_Vis_30,0.8721511857396596,0.9272511473959061
7Networks_LH_Vis_31,0.847975428032056,0.7991922995420606
7Networks_LH_SomMot_1,0.7153725602266956,0.686002871084093
7Networks_LH_SomMot_2,0.7932117510919606,0.7406058650876025
7Networks_LH_SomMot_3,0.5992341319852497,0.5330677482848467
7Networks_LH_SomMot_4,0.5748684598684161,0.5236367850629084
7Networks_LH_SomMot_5,0.7057168227675266,0.792211855250087
7Networks_LH_SomMot_6,0.7984142066905378,0.735083160243418
7Networks_LH_SomMot_7,0.6791124117887863,0.8206828665157962
7Networks_LH_SomMot_8,0.7501368372603154,0.8416778529447595
7Networks_LH_SomMot_9,0.5735982264602778,0.7348916436571055
7Networks_LH_SomMot_10,0.7524025518959925,0.7837289248349543
7Networks_LH_SomMot_11,0.8151953013223299,0.9397818149733003
7Networks_LH_SomMot_12,0.42253652138529946,0.7481283491535314
7Networks_LH_SomMot_13,0.6644611653231417,0.754199527502802
7Networks_LH_SomMot_14,0.6010694970389782,0.8333561176691484
7Networks_LH_SomMot_15,0.7855697167727504,0.7680045264652524
7Networks_LH_SomMot_16,0.3426243393064213,0.7646906845522308
7Networks_LH_SomMot_17,NaN,NaN
7Networks_LH_SomMot_18,0.34876982207693547,0.6457538636741413
7Networks_LH_SomMot_19,0.41520740030861725,0.8283564353342241
7Networks_LH_SomMot_20,0.7310776615166297,0.903974311375831
7Networks_LH_SomMot_21,0.7721013059522345,0.8105045519350675
7Networks_LH_SomMot_22,0.4259222607015272,0.8491894891847648
7Networks_LH_SomMot_23,0.6714660260924169,0.8118579796147264
7Networks_LH_SomMot_24,0.4570371180559788,0.6136247167015125
7Networks_LH_SomMot_25,0.25418934944086413,0.7286007159558426
7Networks_LH_SomMot_26,0.38707431399531317,0.8466149443134217
7Networks_LH_SomMot_27,0.7657899942166663,0.7954636649854936
7Networks_LH_SomMot_28,0.6116619940806436,0.8913388720154031
7Networks_LH_SomMot_29,0.7939194376627158,0.8431924859536504
7Networks_LH_SomMot_30,0.26470994574866274,0.7764401356466615
7Networks_LH_SomMot_31,0.24242850012306233,0.8450692818225448
7Networks_LH_SomMot_32,0.755754854576717,0.7946962962013229
7Networks_LH_SomMot_33,0.3827174065747588,0.8201538899226285
7Networks_LH_SomMot_34,0.29335859381534823,0.7861180871776129
7Networks_LH_SomMot_35,0.5639327675210045,0.8824922952315496
7Networks_LH_SomMot_36,0.6718418201343372,0.644382693689968
7Networks_LH_SomMot_37,0.3532957207921129,0.906474496819364
7Networks_LH_DorsAttn_Post_1,0.8885659241438421,0.5806087980127085
7Networks_LH_DorsAttn_Post_2,0.8812441905437586,0.6428896147426767
7Networks_LH_DorsAttn_Post_3,0.8420968357186929,0.6053287109569765
7Networks_LH_DorsAttn_Post_4,0.8492091338842164,0.7439134409967325
7Networks_LH_DorsAttn_Post_5,0.8548606946896684,0.8241780017215519
7Networks_LH_DorsAttn_Post_6,0.7694507926108839,0.7145150855381496
7Networks_LH_DorsAttn_Post_7,0.835462832013322,0.7326182070932235
7Networks_LH_DorsAttn_Post_8,0.7314794045141524,0.7490742353962907
7Networks_LH_DorsAttn_Post_9,0.7061065526920141,0.7960979019456015
7Networks_LH_DorsAttn_Post_10,0.774324246493936,0.7144812423499369
7Networks_LH_DorsAttn_Post_11,0.7793573124695368,0.7082144131068034
7Networks_LH_DorsAttn_Post_12,0.7658565638213947,0.7987052653673798
7Networks_LH_DorsAttn_Post_13,0.8015092984865951,0.7653176771140024
7Networks_LH_DorsAttn_Post_14,0.7584798522487249,0.8087520843761201
7Networks_LH_DorsAttn_Post_15,0.7259239556902021,0.7128389346646018
7Networks_LH_DorsAttn_Post_16,0.7522079239921727,0.7071303245869993
7Networks_LH_DorsAttn_Post_17,0.7516809006361365,0.6864606325976901
7Networks_LH_DorsAttn_FEF_1,0.37649542724698754,0.6985318484861973
7Networks_LH_DorsAttn_FEF_2,0.3604772149925609,0.6979363396051212
7Networks_LH_DorsAttn_FEF_3,NaN,NaN
7Networks_LH_DorsAttn_FEF_4,0.39697623223891554,0.6270845984209464
7Networks_LH_DorsAttn_PrCv_1,0.41614407956818883,0.7128612081856266
7Networks_LH_DorsAttn_PrCv_2,0.4049371396353526,0.7625575346204689
7Networks_LH_SalVentAttn_ParOper_1,0.7562819133524998,0.7100379605425924
7Networks_LH_SalVentAttn_ParOper_2,0.8300786832223508,0.7218235490734138
7Networks_LH_SalVentAttn_ParOper_3,0.7351735086459461,0.7158176625404347
7Networks_LH_SalVentAttn_ParOper_4,0.7988382481749292,0.6554548609067314
7Networks_LH_SalVentAttn_TempOcc_1,0.8264943119364836,0.6114813016366243
7Networks_LH_SalVentAttn_FrOperIns_1,0.5880430068587741,0.22153409970198606
7Networks_LH_SalVentAttn_FrOperIns_2,0.4496483938199627,0.24062904373742877
7Networks_LH_SalVentAttn_FrOperIns_3,0.5720295439813252,0.4942742094090852
7Networks_LH_SalVentAttn_FrOperIns_4,0.5215123513637403,0.4027350805063188
7Networks_LH_SalVentAttn_FrOperIns_5,0.466070678540692,0.39542662124968775
7Networks_LH_SalVentAttn_FrOperIns_6,0.5883240372468761,0.321504708091222
7Networks_LH_SalVentAttn_FrOperIns_7,0.4774150416207564,0.4163271498802182
7Networks_LH_SalVentAttn_FrOperIns_8,0.5679432885920723,0.5890266359976699
7Networks_LH_SalVentAttn_FrOperIns_9,0.3992481471431477,0.6556322349304291
7Networks_LH_SalVentAttn_PFCl_1,0.6523500540377632,0.5867557510803348
7Networks_LH_SalVentAttn_Med_1,0.3147886264615985,0.25359581117753666
7Networks_LH_SalVentAttn_Med_2,0.3485750252783542,0.34682772313263044
7Networks_LH_SalVentAttn_Med_3,0.5864408794255753,0.5343323973425343
7Networks_LH_SalVentAttn_Med_4,0.3088536833400376,0.5392829854219776
7Networks_LH_SalVentAttn_Med_5,0.7222884724259894,0.6181008175126307
7Networks_LH_SalVentAttn_Med_6,0.7295059339795924,0.6883010269623593
7Networks_LH_SalVentAttn_Med_7,0.33578234050923716,0.6631264564232372
7Networks_LH_Limbic_OFC_1,0.5332229057223875,0.2725093847096059
7Networks_LH_Limbic_OFC_2,0.6653530651586733,0.41546288276205634
7Networks_LH_Limbic_OFC_3,0.6731990874855,0.4306898268102992
7Networks_LH_Limbic_OFC_4,0.5603523398532677,0.23223631498477867
7Networks_LH_Limbic_OFC_5,0.6669600913677589,0.5426161572130026
7Networks_LH_Limbic_TempPole_1,0.8389421812510557,0.32332084873111155
7Networks_LH_Limbic_TempPole_2,0.7998479615414634,0.187211420946904
7Networks_LH_Limbic_TempPole_3,0.6515552500972747,0.22313971054926265
7Networks_LH_Limbic_TempPole_4,0.8198555022638697,0.46002195213651764
7Networks_LH_Limbic_TempPole_5,0.854524626874919,0.36467020223321295
7Networks_LH_Limbic_TempPole_6,0.8350680995251818,0.3364955145318134
7Networks_LH_Limbic_TempPole_7,0.7461767085487129,0.22073587678764467
7Networks_LH_Limbic_TempPole_8,0.5604703537108603,0.4923335376669562
7Networks_LH_Cont_Par_1,0.8674276182852498,0.8137734212901476
7Networks_LH_Cont_Par_2,0.8253844887219379,0.7406042950414249
7Networks_LH_Cont_Par_3,0.7928903788919646,0.6838964395951654
7Networks_LH_Cont_Par_4,0.8123553765260885,0.786803482089836
7Networks_LH_Cont_Par_5,0.8008353963429499,0.7728722997529048
7Networks_LH_Cont_Par_6,0.7826539239976477,0.7355421963978184
7Networks_LH_Cont_Temp_1,0.8659434899726949,0.5617338507175202
7Networks_LH_Cont_OFC_1,0.6714072665915419,0.5115711828634328
7Networks_LH_Cont_PFCl_1,0.6564398813743664,0.5941015479194769
7Networks_LH_Cont_PFCl_2,0.7034935739099749,0.6779839830350394
7Networks_LH_Cont_PFCl_3,0.6809030236630914,0.5909262551728545
7Networks_LH_Cont_PFCl_4,0.6608097759692521,0.6949105774210285
7Networks_LH_Cont_PFCl_5,0.6706780890278383,0.6927191129808414
7Networks_LH_Cont_PFCl_6,0.5946217874944346,0.6970462328488133
7Networks_LH_Cont_PFCl_7,0.4968733596414484,0.6850328345151597
7Networks_LH_Cont_PFCl_8,0.5987129964091653,0.5935497828678875
7Networks_LH_Cont_PFCv_1,0.6895851137491398,0.308104772508036
7Networks_LH_Cont_pCun_1,0.815829416362106,0.7724855807018605
7Networks_LH_Cont_pCun_2,0.742478131122711,0.7052684593966193
7Networks_LH_Cont_Cing_1,0.3119838629818432,0.2876128874946621
