label,ADAM23,ANK1,ANKRD6,BAIAP3,C2CD4C,CPNE6,DMKN,DPYSL3,EIF5A2,EPN3,FABP7,GABRA5,GLRA2,GNB4,GPAT3,GPCPD1,HAPLN4,HR,IDS,KCNC1,KCNG1,KCTD4,LRRC56,LYPD5,MET,MMD,NECAB2,NEFH,P2RX6,PEA15,PKIA,PLXDC1,PNMT,PPM1M,PTPRA,PVALB,RBP4,RHBDL3,RHOBTB2,RIPOR2,SCARA5,SCGN,SCN1A,SCN1B,SCRT1,SEMA7A,SERTAD4-AS1,SHD,SPTSSB,STAC2,SV2C,SYT2,TUNAR,VAMP1,VAT1L,WDR86,YPEL1
R_parsopercularis,0.5927901117776648,0.538812812265978,0.662117395281202,0.7015818595849957,0.8098760793600278,0.47111778861106507,0.5350054070295239,0.500618400579174,0.5271883686359171,0.5632909073571054,0.5339239625557759,0.6584787190498854,0.4442180779458298,0.774991639738705,0.4942084588648516,0.6000062182158986,0.6997993152672229,0.5841352987583283,0.6729055713645152,0.5964338916921267,0.6265335384287615,0.3779298195520904,0.5502104191973851,0.5162451053497316,0.5958784152018551,0.693716783455114,0.5692487403660976,0.6665093234019254,0.5585388698378099,0.5388165885787879,0.5601980455073357,0.6355621875910049,0.42852226632614204,0.6266831647168751,0.48408514814563414,0.6866261033835301,0.6678329741335295,0.5081661199499968,0.4422621891437674,0.5551388404058134,0.6234210333391906,0.5017781161403282,0.5773645470276922,0.6152452100055357,0.5540505998998925,0.5934746146654445,0.5458795486403988,0.5647892007336989,0.5536556709926052,0.7035930965115856,0.3449038515874736,0.38082521034909655,0.5435085924768407,0.32461375972093387,0.5158502436128533,0.6224422269992878,0.6418452021974558
R_parsorbitalis,0.4494834791074369,0.4836422926347235,0.6077486535990023,0.6772302175791679,0.8254273951988946,0.4945750297052801,0.554285706792109,0.5297456671814882,0.45630546012880446,0.4682136372336105,0.5547600612863672,0.5605969790772327,0.4466846047406138,0.6688312482492815,0.4463934200369407,0.5924180205520249,0.6302906952221274,0.6094740984983067,0.6812361933376807,0.5264098793607243,0.577588642937522,0.41074374177093104,0.5182660155986555,0.4617975932971566,0.6705576055315392,0.5647489903673699,0.5763741710243251,0.4746021712787636,0.5257401830020185,0.5274399075099743,0.5673360562004635,0.6093953239796944,0.5006498701227506,0.602581382560409,0.5070572564448326,0.6778029132763634,0.6536829831769388,0.5251734447438765,0.3000759881695438,0.4989493596461477,0.6878371329657744,0.5823702304630216,0.5090358413442602,0.5870371890566659,0.5157212983896928,0.5298707649659109,0.5659809246897696,0.5911027295721486,0.5198869748344791,0.662656103149436,0.2537067728322218,0.24111678281489374,0.45637780177197507,0.3520970070236843,0.40449326725754653,0.6021201559830687,0.6094662985594873
R_parstriangularis,0.6040672094235041,0.5436576513793858,0.6105586850985489,0.712427931086447,0.813296383934444,0.47270334160071387,0.566304050701087,0.47586685486812114,0.5379402323688485,0.5229238621077393,0.5053853238835697,0.6479348970544972,0.48437271708692303,0.7187421216512564,0.5060046784740113,0.6140371104630682,0.7010682240257807,0.6667676437237656,0.70578260822484,0.5861876092522321,0.587485585389449,0.42985337356138137,0.5371092710986608,0.5033811248328207,0.6729423859596197,0.6762326944882585,0.5664714988613716,0.6261069367545841,0.5092723546387568,0.5194622258637024,0.5786709340437873,0.678305036069403,0.4644884199124592,0.6280191789229548,0.49382631830728024,0.7177416604706988,0.6788135632123092,0.49138842893229895,0.42481415942430445,0.5536648033802075,0.6703480860150307,0.5326321451879609,0.5969938854332241,0.6464438747585216,0.6027673323071457,0.5866597159604903,0.5315120482879384,0.6030637741375552,0.6050885691398303,0.6844594709630686,0.2962624269370563,0.35142572191771665,0.49747318599833595,0.3456901984015688,0.47924225742154,0.6056396610374266,0.6407300615451491
R_pericalcarine,0.7810093977282354,0.8786034090670153,0.1968964143679173,0.14971111675787557,0.24041795892421594,0.19781460760445468,0.8696460942231391,0.16758595962151626,0.7544669797898838,0.6339366684662083,0.21982470779429572,0.2693702840124839,0.14906311643031178,0.2818087211813687,0.7471136658112414,0.9326323073064456,0.7836474633061488,0.9058142489812457,0.893675310835305,0.8358854090056628,0.35838653424023764,0.13492544541083565,0.43904852198710137,0.7575216710363156,0.8605924122630775,0.3517301036690656,0.2073768086014632,0.6861470889519694,0.8102610877863022,0.14096454344555548,0.09080435134301341,0.8513559420816169,0.2075411585211783,0.34639251824604383,0.1613163080940219,0.8767783825360297,0.0851831314909648,0.8685434462102232,0.5931087021711764,0.17662433854573087,0.19348544181949448,0.10797070660175985,0.8940026703332236,0.9215662614832932,0.8883629136691966,0.9161798659360199,0.7615206228392318,0.800850604687431,0.8314543221369483,0.9099502301000565,0.49217461931062206,0.6971672676825431,0.18720616287990877,0.6730896427961951,0.20386860889485406,0.21218935486223633,0.32590153553693746
R_postcentral,0.6890041226885707,0.7088020238974266,0.3930889140826522,0.36147357694985094,0.5114583847170896,0.2640626769498581,0.6726567644220748,0.30527603958115607,0.6420092406781336,0.6657702377497455,0.29614777055080393,0.45143867937614135,0.2819133889441121,0.5630688611542071,0.6601183927401298,0.7755129636642546,0.7391246127049512,0.7656641294405643,0.8225342981445675,0.7752738970294657,0.37075471857323167,0.2707873096602388,0.45436798431785447,0.6605597283416443,0.7329769204463941,0.5191010197160281,0.3903894862371296,0.7303869417041233,0.6764604641526736,0.33405057298057206,0.32646907406364567,0.7764861587314629,0.26612644360811033,0.43761283149504826,0.3395405843557684,0.8140965438833055,0.4040659727122892,0.6959900340874321,0.5958622670963977,0.34920267688561074,0.39938655631949027,0.36029650526046414,0.7232199765536138,0.8190762207431268,0.7559481206165756,0.76962018662682,0.7196890085375282,0.7054911641314324,0.6349198927793842,0.825256307312474,0.5476954024893881,0.6132194471196261,0.19685784292225714,0.5538193696152471,0.4036196699184829,0.37838552128600594,0.4896769142510295
R_posteriorcingulate,0.49196471386478113,0.47965244849356004,0.7236907833219811,0.6609955381712247,0.7958776368049106,0.5225863306591615,0.5014488347975935,0.593154111625456,0.43036996239737674,0.4296639001028566,0.6176539375546009,0.6606566182922898,0.5080423533204259,0.7436512602137414,0.3839587786282134,0.45805870609426824,0.5415240425388848,0.5605018594784629,0.6283117187882314,0.5428434986302665,0.6558994834894979,0.4782871789243089,0.6137286907495921,0.44927287424848855,0.5716636595801924,0.6920394849130312,0.6092266265041314,0.5687778553099955,0.5884083219490313,0.600638600850229,0.6019570435243969,0.5627226425708266,0.42930074259953255,0.6658696420344073,0.500203744035907,0.5561677079026608,0.6766802170454271,0.485460401735957,0.40290321632451104,0.6080440126204056,0.6257022227613196,0.534586766937749,0.4624055894292493,0.5055436983017687,0.5139104197862089,0.535809908675393,0.4909672952800191,0.4470768127094145,0.4566396884000339,0.7429643306726458,0.3334227268991965,0.36677291599480877,0.43249976069031,0.3605455589413218,0.6317514795067715,0.6108078120601754,0.6103337748481164
R_precentral,0.6901661231395324,0.6656362141952502,0.4406091610799199,0.42472600333574523,0.5952706389637309,0.3207424734978734,0.4680955113793573,0.3530530847116911,0.6242394689630867,0.7030847004999958,0.4123310595931314,0.48999523927071453,0.3360558381632033,0.6249047768883352,0.6353127967820473,0.7049078500691147,0.7723642183540501,0.7336995859010526,0.7250651514513002,0.7565540188305361,0.45579007987370407,0.27368046523054307,0.45555543449983954,0.6307710194537982,0.4106226614078956,0.5645720093952785,0.39350981758774334,0.7780374905049774,0.6993328043077405,0.4110651021179627,0.3945716955812339,0.7457867120640058,0.22549287677056565,0.47291585589821433,0.3712755561196372,0.7855815559854983,0.47427511648958537,0.6809433195035585,0.6507504818831382,0.4379487836362263,0.3911317587491527,0.4179156893291269,0.7077993543215757,0.7698783433200385,0.7440332095645172,0.7466433067382735,0.6585085531324107,0.6680919400088213,0.592588831975143,0.8405252372758731,0.5843448210694812,0.6360933622568559,0.4525456850585456,0.5642455789524711,0.562732455830747,0.5090899359528949,0.4818810368788549
R_precuneus,0.5791196554613189,0.6193779155420654,0.4962319588602713,0.5422633077754013,0.7156396646173241,0.35820040572740325,0.7229775730468214,0.41922287165451083,0.5336084505857747,0.5885833843419638,0.46089791723948875,0.48215328869673413,0.3775507406268917,0.5272373712448463,0.5112169031494627,0.6562999112811233,0.6922850369464087,0.7489198968573497,0.7652628911072964,0.6829074815951608,0.5075897717736512,0.352054899140688,0.5058186649260392,0.6052131970515707,0.786521026796109,0.5172865825883216,0.5126962570008101,0.5878987985597671,0.6560850578215494,0.440892529841125,0.43938134520614686,0.7533901347994133,0.34723360895320715,0.5414238200083618,0.3983978456366147,0.7021337653288758,0.5607256247362561,0.655846833485327,0.46742873684945874,0.4274940435392715,0.4942488770429638,0.4498858979583706,0.6713857176721931,0.695806220391051,0.6852392329618441,0.6847589340791469,0.6163081003528493,0.6794277824586704,0.6276737291571574,0.7855092199161557,0.4648037351654319,0.44806846467488426,0.2676192222761282,0.48895781583334447,0.37878979215557523,0.5043222412205938,0.5345769620672339
R_rostralanteriorcingulate,0.28130252165173913,0.3641002381738709,0.8167151706368144,0.78489400402409,0.922972703562623,0.6757600862085976,0.4191312213292475,0.7201969526688347,0.2427945620722742,0.19186277620373945,0.7511479460427232,0.7514132473352637,0.5952058947818825,0.7936876163948633,0.22983707692683072,0.3097282910237922,0.34001455871924563,0.407981955312142,0.566293570184809,0.3373854247818442,0.8010497821636816,0.6105118951753882,0.7416216619972115,0.2716281849748054,0.5517970110213998,0.7473926607024658,0.7665622723427736,0.23231773138873046,0.4952449559322658,0.800785429737478,0.7536411003806603,0.40348787097934924,0.6747266191870104,0.7880827198216221,0.7312133032959139,0.3447642942745921,0.7762741460356942,0.2836817181309934,0.20527335959332896,0.7763255966764527,0.811899201655219,0.7156345220733661,0.24535401757328787,0.29554323299257096,0.32882021877201045,0.34635917536483524,0.31671976054776363,0.23061907634322223,0.29171946588335484,0.5704025796324964,0.18290498629947574,0.14366684752933645,0.5471367133477657,0.13225732050531933,0.6173278246784123,0.7231378301016069,0.7574999398565784
R_rostralmiddlefrontal,0.4978033881925003,0.5174940699817536,0.6248185874772482,0.7135277175283745,0.8506982002852981,0.5225791529936411,0.5890125926570804,0.5220645730375937,0.4964323319837427,0.46805399914243573,0.567751752296615,0.5764829453488131,0.4277434971951876,0.6560312535811821,0.4407656642469426,0.5737870549076075,0.692094645654051,0.6742188664562304,0.6532943179877773,0.5741583617769,0.6351420874310888,0.4064066090237768,0.5386899004692477,0.4994472817255804,0.6868948047180486,0.6041690942706931,0.5915992321788577,0.518020200246097,0.5781794016738784,0.5411746796453195,0.5577618479712753,0.6429043309935837,0.533404279448232,0.6359083336812136,0.5358987509487708,0.6795482813913427,0.6814764257726075,0.5140237373708396,0.3623303453011281,0.5480363427992883,0.6332187194867748,0.5217120019896306,0.5704727927305974,0.595148546491021,0.5680937312816571,0.5429563236070267,0.5224357407924077,0.6124842679640555,0.5813249663432982,0.6912911677282253,0.27265511533758974,0.29389282650166243,0.4795984895783378,0.3360312157519571,0.4145660678005542,0.62788558455787,0.6133256404602317
